64043,1000901,單 293號至 539號,odd;~NUMBER:293:539
64045,1000901,單 561號至 629號,odd;~NUMBER:561:629
64046,1000901,單 631號至 663號,odd;~NUMBER:631:663
64045,1000901,單 665號至 799號,odd;~NUMBER:665:799
64048,1000901,單 801號以上,odd;>NUMBER:801
64043,1000901,雙 328號至 496號,even;~NUMBER:328:496
64045,1000901,雙 548號至 628號,even;~NUMBER:548:628
64046,1000901,雙 630號至 680號,even;~NUMBER:630:680
64047,1000901,雙 700號至 780號,even;~NUMBER:700:780
64045,1000901,雙 782號至 814號,even;~NUMBER:782:814
64048,1000901,雙 816號以上,even;>NUMBER:816
