90078,1001301,單  41號以下,odd;<NUMBER:41
90081,1001301,單  43號至 117號,odd;~NUMBER:43:117
90083,1001301,單 119號以上,odd;>NUMBER:119
90078,1001301,雙  66號以下,even;<NUMBER:66
90081,1001301,雙  68號至 120號,even;~NUMBER:68:120
90083,1001301,雙 122號以上,even;>NUMBER:122
90643,1001311,全,all
90847,1001306,單  45號以下,odd;<NUMBER:45
90841,1001306,單  47號以上,odd;>NUMBER:47
90847,1001306,雙  64號以下,even;<NUMBER:64
90841,1001306,雙  66巷以上,even;>LANE:66
91243,1001313,全,all
92054,1001302,全,all
92341,1001312,全,all
92443,1001318,全,all
92643,1001320,全,all
92743,1001319,全,all
92942,1001322,全,all
93143,1001321,全,all
94046,1001316,全,all
94643,1001304,全,all
94741,1001324,全,all
