10441,6300400,單  31號以下,=SECTION:1;odd;<NUMBER:31
10442,6300400,單  33號以上,=SECTION:1;odd;>NUMBER:33
10441,6300400,雙  10號以下,=SECTION:1;even;<NUMBER:10
10442,6300400,雙  12號以上,=SECTION:1;even;>NUMBER:12
10456,6300400,單  53號以下,=SECTION:2;odd;<NUMBER:53
10455,6300400,單  55號至 139號,=SECTION:2;odd;~NUMBER:55:139
10490,6300400,單 141號至 211號,=SECTION:2;odd;~NUMBER:141:211
10456,6300400,雙  52號以下,=SECTION:2;even;<NUMBER:52
10455,6300400,雙  54號至  92號,=SECTION:2;even;~NUMBER:54:92
10491,6300400,雙  94號至 210號,=SECTION:2;even;~NUMBER:94:210
10492,6300400,雙 212號至 258號,=SECTION:2;even;~NUMBER:212:258
10552,6300100,單 215號以上,=SECTION:2;odd;>NUMBER:215
10552,6300100,雙 260號以上,=SECTION:2;even;>NUMBER:260
