10450,6300400,單  29號以下,odd;<NUMBER:29
10447,6300400,單  31號至  75號,odd;~NUMBER:31:75
10459,6300400,單  77號至 151號,odd;~NUMBER:77:151
10485,6300400,單 153號至 167號,odd;~NUMBER:153:167
10479,6300400,單 169號至 329號,odd;~NUMBER:169:329
10450,6300400,雙  44號以下,even;<NUMBER:44
10447,6300400,雙  46號至  98號,even;~NUMBER:46:98
10458,6300400,雙 100號至 116號,even;~NUMBER:100:116
10459,6300400,雙 118號至 164號,even;~NUMBER:118:164
10485,6300400,雙 166號至 206之   1號,even;~NUMBER:166:206之1
10487,6300400,雙 206之   2號至 418號,even;~NUMBER:206之2:418
10545,6300100,單 331號至 339巷,odd;~LANE:331:339
10547,6300100,單 341號以上,odd;>NUMBER:341
10547,6300100,雙 420號以上,even;>NUMBER:420
