24154,6500200,單  25號以下,odd;<NUMBER:25
24155,6500200,單  27號至 253號,odd;~NUMBER:27:253
24151,6500200,單 255號至 267號,odd;~NUMBER:255:267
24152,6500200,單 269號至 299號,odd;~NUMBER:269:299
24151,6500200,單 301號以上,odd;>NUMBER:301
24154,6500200,雙  12號以下,even;<NUMBER:12
24155,6500200,雙  14號至  58號,even;~NUMBER:14:58
24155,6500200,　  60巷連  16號以下,=LANE:60;<NUMBER:16
24151,6500200,　  60巷連  17號以上,=LANE:60;>NUMBER:17
24155,6500200,雙  62號至  70號,even;~NUMBER:62:70
24152,6500200,雙  72號至 306號,even;~NUMBER:72:306
24151,6500200,雙 308號以上,even;>NUMBER:308
