40356,6600400,雙 336號至 356號,even;336號~356號
40758,6600600,單 861號以上,odd;>861號
40758,6600600,雙 926號以上,even;>926號
40857,6600700,單  83號以下,odd;<83號
40878,6600700,單 135號至 177號,odd;135號~177號
40864,6600700,單 219號至 303號,odd;219號~303號
40866,6600700,單 307號至 525號,odd;307號~525號
40861,6600700,單 531號至 693號,odd;531號~693號
40848,6600700,單 695號至 839號,odd;695號~839號
40857,6600700,雙  98號以下,even;<98號
40878,6600700,雙 102號至 192號,even;102號~192號
40864,6600700,雙 230號至 288號,even;230號~288號
40866,6600700,雙 460號至 510號,even;460號~510號
40861,6600700,雙 512號至 698號,even;512號~698號
40848,6600700,雙 700號至 924號,even;700號~924號
